family,episode_id,sample_index,timestamp_s,selected_action,step_index,constraint,pre,post,removed,added,collapse_source
narrow_corridor_head_on_deadlock,pgrr_extpilot_f03_narrow_corridor_head_on_deadlock_low_train_r00_s91300_pgrr,53,5.328000000000003,BACKUP,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
narrow_corridor_head_on_deadlock,pgrr_extpilot_f03_narrow_corridor_head_on_deadlock_low_train_r00_s91300_pgrr,68,6.826500000000003,WAIT,1,bc_yield_mask,21,21,,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
narrow_corridor_head_on_deadlock,pgrr_extpilot_f03_narrow_corridor_head_on_deadlock_low_train_r00_s91300_pgrr,68,6.826500000000003,WAIT,2,bc_closing_side,21,21,,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
narrow_corridor_head_on_deadlock,pgrr_extpilot_f03_narrow_corridor_head_on_deadlock_low_train_r00_s91300_pgrr,77,7.7256,WAIT,1,bc_yield_mask,21,21,,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
narrow_corridor_head_on_deadlock,pgrr_extpilot_f03_narrow_corridor_head_on_deadlock_low_train_r00_s91300_pgrr,77,7.7256,WAIT,2,bc_closing_side,21,21,,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
narrow_corridor_head_on_deadlock,pgrr_extpilot_f03_narrow_corridor_head_on_deadlock_low_train_r00_s91300_pgrr,87,8.757900000000003,WAIT,1,bc_yield_mask,21,21,,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
narrow_corridor_head_on_deadlock,pgrr_extpilot_f03_narrow_corridor_head_on_deadlock_low_train_r00_s91300_pgrr,87,8.757900000000003,WAIT,2,bc_closing_side,21,21,,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,374,37.429199999999994,BACKUP,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,374,37.429199999999994,BACKUP,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,469,46.953,BACKUP,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,469,46.953,BACKUP,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,578,57.908699999999996,WAIT,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,578,57.908699999999996,WAIT,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,578,57.908699999999996,WAIT,3,bc_recurrent_escape,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,588,58.907700000000006,WAIT,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
