family_index,family,episode_id,sample_index,timestamp_s,action_id,action_name,allowed_action_ids_text,mask_parseable,only_wait_backup_allowed,alternative_action_available,selected_wait_or_backup,selected_action_in_logged_mask,next_event_origin,next_event_action,next_event_delay_s,immediately_followed_by_emergency_guard
5,lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,475,47.619,22,BACKUP,"21,22",True,True,False,True,True,RECOVERY_LIFECYCLE,CONTINUE,2.3976,False
5,lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,530,53.1468,22,BACKUP,"21,22",True,True,False,True,True,LEARNED_POLICY,BACKUP,3.4965,False
5,lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,565,56.643299999999996,22,BACKUP,"0,21,22",True,False,True,True,True,RECOVERY_LIFECYCLE,CONTINUE,3.4299,False
5,lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,664,66.6,22,BACKUP,"21,22",True,True,False,True,True,LEARNED_POLICY,SUBGOAL_0,3.5298,False
5,lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,699,70.1298,0,SUBGOAL_0,"0,21,22",True,False,True,False,True,OTHER,CONTINUE,2.3976,False
5,lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,769,77.0895,22,BACKUP,"21,22",True,True,False,True,True,LEARNED_POLICY,BACKUP,2.997,False
5,lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,799,80.0865,22,BACKUP,"21,22",True,True,False,True,True,RECOVERY_LIFECYCLE,CONTINUE,3.4299,False
6,bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,419,41.991299999999995,21,WAIT,"21,22",True,True,False,True,True,LEARNED_POLICY,BACKUP,0.9324,False
6,bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,428,42.9237,22,BACKUP,"21,22",True,True,False,True,True,LEARNED_POLICY,WAIT,1.0323,False
6,bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,438,43.956,21,WAIT,"21,22",True,True,False,True,True,EMERGENCY_GUARD,WAIT,0.3996,True
6,bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,463,46.453500000000005,21,WAIT,"21,22",True,True,False,True,True,LEARNED_POLICY,BACKUP,0.999,False
6,bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,473,47.4525,22,BACKUP,"21,22",True,True,False,True,True,RECOVERY_LIFECYCLE,CONTINUE,4.3956,False
6,bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,583,58.441500000000005,22,BACKUP,"21,22",True,True,False,True,True,RECOVERY_LIFECYCLE,CONTINUE,3.4299,False
6,bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,667,66.8997,22,BACKUP,"21,22",True,True,False,True,True,RECOVERY_LIFECYCLE,CONTINUE,4.9284,False
6,bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,802,80.4195,0,SUBGOAL_0,"0,21,22",True,False,True,False,True,LEARNED_POLICY,SUBGOAL_2,6.4935,False
6,bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,867,86.913,2,SUBGOAL_2,"2,3,4,21",True,False,True,False,True,OTHER,CONTINUE,1.9314,False
7,goal_approach_lateral_interruption,pgrr_extpilot_f07_goal_approach_lateral_interruption_low_train_r00_s91700_pgrr,776,77.7222,22,BACKUP,"21,22",True,True,False,True,True,EMERGENCY_GUARD,WAIT,0.2997,True
7,goal_approach_lateral_interruption,pgrr_extpilot_f07_goal_approach_lateral_interruption_low_train_r00_s91700_pgrr,815,81.6516,22,BACKUP,"21,22",True,True,False,True,True,LEARNED_POLICY,WAIT,1.4985,False
7,goal_approach_lateral_interruption,pgrr_extpilot_f07_goal_approach_lateral_interruption_low_train_r00_s91700_pgrr,830,83.1501,21,WAIT,"21,22",True,True,False,True,True,LEARNED_POLICY,WAIT,0.8991,False
7,goal_approach_lateral_interruption,pgrr_extpilot_f07_goal_approach_lateral_interruption_low_train_r00_s91700_pgrr,839,84.0492,21,WAIT,"21,22",True,True,False,True,True,LEARNED_POLICY,BACKUP,1.0323,False
7,goal_approach_lateral_interruption,pgrr_extpilot_f07_goal_approach_lateral_interruption_low_train_r00_s91700_pgrr,849,85.0815,22,BACKUP,"21,22",True,True,False,True,True,,,,False
